[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 1500: Total Loss of tensor([[-25.1098]], grad_fn=<SubBackward0>)
[2022-11-05 05:28:37.253286] Process 3. Episode 1500, average_reward -0.068667
Episode 1500: Total Loss of tensor([[-0.9866]], grad_fn=<SubBackward0>)
[2022-11-05 05:28:37.764009] Process 4. Episode 1600, average_reward -0.073125
Episode 1600: Total Loss of tensor([[-3.2925]], grad_fn=<SubBackward0>)
[2022-11-05 05:29:19.830028] Process 2. Episode 1500, average_reward -0.077333
Episode 1500: Total Loss of tensor([[8.7009]], grad_fn=<SubBackward0>)
[2022-11-05 05:29:30.654730] Process 5. Episode 1550, average_reward -0.069677
Episode 1550: Total Loss of tensor([[6.3930]], grad_fn=<SubBackward0>)
[2022-11-05 05:30:02.933996] Process 0. Episode 1550, average_reward -0.068387
Episode 1550: Total Loss of tensor([[9.2090]], grad_fn=<SubBackward0>)
[2022-11-05 05:30:20.126447] Process 1. Episode 1550, average_reward -0.073548
Episode 1550: Total Loss of tensor([[5.3014]], grad_fn=<SubBackward0>)
[2022-11-05 05:31:02.063641] Process 3. Episode 1550, average_reward -0.069032
Episode 1550: Total Loss of tensor([[9.1660]], grad_fn=<SubBackward0>)
[2022-11-05 05:31:07.485099] Process 4. Episode 1650, average_reward -0.074545
Episode 1650: Total Loss of tensor([[-3.8676]], grad_fn=<SubBackward0>)
[2022-11-05 05:31:57.884781] Process 2. Episode 1550, average_reward -0.078710
Episode 1550: Total Loss of tensor([[-5.6790]], grad_fn=<SubBackward0>)
[2022-11-05 05:32:02.968047] Process 5. Episode 1600, average_reward -0.068125
Episode 1600: Total Loss of tensor([[10.8569]], grad_fn=<SubBackward0>)
[2022-11-05 05:32:31.678796] Process 0. Episode 1600, average_reward -0.068750
Episode 1600: Total Loss of tensor([[5.7625]], grad_fn=<SubBackward0>)
[2022-11-05 05:32:51.609946] Process 1. Episode 1600, average_reward -0.073750
Episode 1600: Total Loss of tensor([[11.4641]], grad_fn=<SubBackward0>)
[2022-11-05 05:33:32.982181] Process 4. Episode 1700, average_reward -0.074706
Episode 1700: Total Loss of tensor([[7.1905]], grad_fn=<SubBackward0>)
[2022-11-05 05:33:35.903030] Process 3. Episode 1600, average_reward -0.068125
Episode 1600: Total Loss of tensor([[0.2066]], grad_fn=<SubBackward0>)
[2022-11-05 05:34:28.844904] Process 2. Episode 1600, average_reward -0.079375
Episode 1600: Total Loss of tensor([[15.7672]], grad_fn=<SubBackward0>)
[2022-11-05 05:34:31.854083] Process 5. Episode 1650, average_reward -0.067273
Episode 1650: Total Loss of tensor([[21.6192]], grad_fn=<SubBackward0>)
[2022-11-05 05:35:05.925959] Process 0. Episode 1650, average_reward -0.068485
Episode 1650: Total Loss of tensor([[11.9141]], grad_fn=<SubBackward0>)
[2022-11-05 05:35:23.045285] Process 1. Episode 1650, average_reward -0.073939
Episode 1650: Total Loss of tensor([[-56.6840]], grad_fn=<SubBackward0>)
[2022-11-05 05:35:57.782370] Process 4. Episode 1750, average_reward -0.076571
Episode 1750: Total Loss of tensor([[13.0063]], grad_fn=<SubBackward0>)
[2022-11-05 05:36:09.729849] Process 3. Episode 1650, average_reward -0.067273
Episode 1650: Total Loss of tensor([[-4.7776]], grad_fn=<SubBackward0>)
[2022-11-05 05:36:56.507527] Process 5. Episode 1700, average_reward -0.068235
Episode 1700: Total Loss of tensor([[7.4215]], grad_fn=<SubBackward0>)
[2022-11-05 05:37:00.699796] Process 2. Episode 1650, average_reward -0.076970
Episode 1650: Total Loss of tensor([[1.4619]], grad_fn=<SubBackward0>)
[2022-11-05 05:37:33.734579] Process 0. Episode 1700, average_reward -0.068235
Episode 1700: Total Loss of tensor([[6.6171]], grad_fn=<SubBackward0>)
[2022-11-05 05:38:02.370694] Process 1. Episode 1700, average_reward -0.074118
Episode 1700: Total Loss of tensor([[7.7190]], grad_fn=<SubBackward0>)
[2022-11-05 05:38:18.070521] Process 4. Episode 1800, average_reward -0.077222
Episode 1800: Total Loss of tensor([[4.9261]], grad_fn=<SubBackward0>)
[2022-11-05 05:38:49.947842] Process 3. Episode 1700, average_reward -0.067647
Episode 1700: Total Loss of tensor([[4.6703]], grad_fn=<SubBackward0>)
[2022-11-05 05:39:28.807345] Process 5. Episode 1750, average_reward -0.069143
Episode 1750: Total Loss of tensor([[-135.4555]], grad_fn=<SubBackward0>)
[2022-11-05 05:39:41.744173] Process 2. Episode 1700, average_reward -0.075294
Episode 1700: Total Loss of tensor([[15.2468]], grad_fn=<SubBackward0>)
[2022-11-05 05:39:56.031858] Process 0. Episode 1750, average_reward -0.069714
Episode 1750: Total Loss of tensor([[4.0963]], grad_fn=<SubBackward0>)
[2022-11-05 05:40:36.854655] Process 4. Episode 1850, average_reward -0.076216
Episode 1850: Total Loss of tensor([[8.4277]], grad_fn=<SubBackward0>)
[2022-11-05 05:40:45.779190] Process 1. Episode 1750, average_reward -0.072571
Episode 1750: Total Loss of tensor([[5.8532]], grad_fn=<SubBackward0>)
[2022-11-05 05:41:22.899680] Process 3. Episode 1750, average_reward -0.066857
Episode 1750: Total Loss of tensor([[8.0104]], grad_fn=<SubBackward0>)
[2022-11-05 05:42:00.839369] Process 5. Episode 1800, average_reward -0.068333
Episode 1800: Total Loss of tensor([[12.2900]], grad_fn=<SubBackward0>)
[2022-11-05 05:42:18.734093] Process 2. Episode 1750, average_reward -0.074857
Episode 1750: Total Loss of tensor([[7.8563]], grad_fn=<SubBackward0>)
[2022-11-05 05:42:22.312952] Process 0. Episode 1800, average_reward -0.071111
Episode 1800: Total Loss of tensor([[3.3656]], grad_fn=<SubBackward0>)
[2022-11-05 05:42:59.674592] Process 4. Episode 1900, average_reward -0.077368
Episode 1900: Total Loss of tensor([[17.2529]], grad_fn=<SubBackward0>)
[2022-11-05 05:43:16.467235] Process 1. Episode 1800, average_reward -0.072222
Episode 1800: Total Loss of tensor([[14.2078]], grad_fn=<SubBackward0>)
[2022-11-05 05:43:51.538910] Process 3. Episode 1800, average_reward -0.068889
Episode 1800: Total Loss of tensor([[6.1204]], grad_fn=<SubBackward0>)
[2022-11-05 05:44:24.867881] Process 5. Episode 1850, average_reward -0.068108
Episode 1850: Total Loss of tensor([[-8.3872]], grad_fn=<SubBackward0>)
[2022-11-05 05:44:50.034763] Process 2. Episode 1800, average_reward -0.076111
Episode 1800: Total Loss of tensor([[-57.8695]], grad_fn=<SubBackward0>)
[2022-11-05 05:45:06.563978] Process 0. Episode 1850, average_reward -0.070811
Episode 1850: Total Loss of tensor([[-3.1550]], grad_fn=<SubBackward0>)
[2022-11-05 05:45:19.358131] Process 4. Episode 1950, average_reward -0.079487
Episode 1950: Total Loss of tensor([[20.2333]], grad_fn=<SubBackward0>)
[2022-11-05 05:45:55.355278] Process 1. Episode 1850, average_reward -0.071892
Episode 1850: Total Loss of tensor([[-122.9115]], grad_fn=<SubBackward0>)
[2022-11-05 05:46:27.790594] Process 3. Episode 1850, average_reward -0.069189
Episode 1850: Total Loss of tensor([[12.8442]], grad_fn=<SubBackward0>)
[2022-11-05 05:46:54.266767] Process 5. Episode 1900, average_reward -0.068947
Episode 1900: Total Loss of tensor([[11.9583]], grad_fn=<SubBackward0>)
[2022-11-05 05:47:18.489799] Process 2. Episode 1850, average_reward -0.077297
Episode 1850: Total Loss of tensor([[6.7798]], grad_fn=<SubBackward0>)
[2022-11-05 05:47:41.105173] Process 0. Episode 1900, average_reward -0.072105
Episode 1900: Total Loss of tensor([[18.2794]], grad_fn=<SubBackward0>)
[2022-11-05 05:47:43.408869] Process 4. Episode 2000, average_reward -0.079000
Episode 2000: Total Loss of tensor([[25.4632]], grad_fn=<SubBackward0>)
[2022-11-05 05:48:24.510513] Process 1. Episode 1900, average_reward -0.074211
Episode 1900: Total Loss of tensor([[13.4056]], grad_fn=<SubBackward0>)
[2022-11-05 05:48:54.248332] Process 3. Episode 1900, average_reward -0.068947
Episode 1900: Total Loss of tensor([[1.8923]], grad_fn=<SubBackward0>)
[2022-11-05 05:49:19.855724] Process 5. Episode 1950, average_reward -0.068205
Episode 1950: Total Loss of tensor([[6.9267]], grad_fn=<SubBackward0>)
[2022-11-05 05:49:49.744278] Process 2. Episode 1900, average_reward -0.078421
Episode 1900: Total Loss of tensor([[-1.1505]], grad_fn=<SubBackward0>)
[2022-11-05 05:50:08.954310] Process 4. Episode 2050, average_reward -0.078049
Episode 2050: Total Loss of tensor([[-2.8021]], grad_fn=<SubBackward0>)
[2022-11-05 05:50:20.698647] Process 0. Episode 1950, average_reward -0.071282
Episode 1950: Total Loss of tensor([[1.6515]], grad_fn=<SubBackward0>)
[2022-11-05 05:50:52.954635] Process 1. Episode 1950, average_reward -0.074872
Episode 1950: Total Loss of tensor([[8.2398]], grad_fn=<SubBackward0>)
[2022-11-05 05:51:25.844049] Process 3. Episode 1950, average_reward -0.070256
Episode 1950: Total Loss of tensor([[5.2750]], grad_fn=<SubBackward0>)
[2022-11-05 05:51:57.000546] Process 5. Episode 2000, average_reward -0.067500
Episode 2000: Total Loss of tensor([[14.1561]], grad_fn=<SubBackward0>)
[2022-11-05 05:52:11.679417] Process 2. Episode 1950, average_reward -0.079487
Episode 1950: Total Loss of tensor([[-1.6186]], grad_fn=<SubBackward0>)
[2022-11-05 05:52:29.344647] Process 4. Episode 2100, average_reward -0.077619
Episode 2100: Total Loss of tensor([[23.5960]], grad_fn=<SubBackward0>)
[2022-11-05 05:52:55.234598] Process 0. Episode 2000, average_reward -0.072000
Episode 2000: Total Loss of tensor([[9.1821]], grad_fn=<SubBackward0>)
[2022-11-05 05:53:19.703859] Process 1. Episode 2000, average_reward -0.074500
Episode 2000: Total Loss of tensor([[8.1506]], grad_fn=<SubBackward0>)
[2022-11-05 05:54:04.486814] Process 3. Episode 2000, average_reward -0.071500
Episode 2000: Total Loss of tensor([[-9.0188]], grad_fn=<SubBackward0>)
[2022-11-05 05:54:28.876212] Process 5. Episode 2050, average_reward -0.067805
Episode 2050: Total Loss of tensor([[23.4853]], grad_fn=<SubBackward0>)
[2022-11-05 05:54:36.834323] Process 2. Episode 2000, average_reward -0.081000
Episode 2000: Total Loss of tensor([[-64.6833]], grad_fn=<SubBackward0>)
[2022-11-05 05:54:53.803548] Process 4. Episode 2150, average_reward -0.078140
Episode 2150: Total Loss of tensor([[21.1313]], grad_fn=<SubBackward0>)
[2022-11-05 05:55:32.044511] Process 0. Episode 2050, average_reward -0.071707
Episode 2050: Total Loss of tensor([[-6.0786]], grad_fn=<SubBackward0>)
[2022-11-05 05:55:55.542381] Process 1. Episode 2050, average_reward -0.074146
Episode 2050: Total Loss of tensor([[4.1302]], grad_fn=<SubBackward0>)
[2022-11-05 05:56:28.414339] Process 3. Episode 2050, average_reward -0.071220
Episode 2050: Total Loss of tensor([[0.4628]], grad_fn=<SubBackward0>)
[2022-11-05 05:56:55.830505] Process 5. Episode 2100, average_reward -0.067619
Episode 2100: Total Loss of tensor([[2.9726]], grad_fn=<SubBackward0>)
[2022-11-05 05:57:11.711225] Process 2. Episode 2050, average_reward -0.080488
Episode 2050: Total Loss of tensor([[14.5766]], grad_fn=<SubBackward0>)
[2022-11-05 05:57:20.297326] Process 4. Episode 2200, average_reward -0.077273
Episode 2200: Total Loss of tensor([[-127.6529]], grad_fn=<SubBackward0>)
[2022-11-05 05:58:04.862377] Process 0. Episode 2100, average_reward -0.070952
Episode 2100: Total Loss of tensor([[-4.0368]], grad_fn=<SubBackward0>)
[2022-11-05 05:58:38.188134] Process 1. Episode 2100, average_reward -0.073333
Episode 2100: Total Loss of tensor([[2.4586]], grad_fn=<SubBackward0>)
[2022-11-05 05:58:55.972256] Process 3. Episode 2100, average_reward -0.071905
Episode 2100: Total Loss of tensor([[7.2873]], grad_fn=<SubBackward0>)
[2022-11-05 05:59:32.900590] Process 5. Episode 2150, average_reward -0.067442
Episode 2150: Total Loss of tensor([[6.4769]], grad_fn=<SubBackward0>)
[2022-11-05 05:59:33.716496] Process 2. Episode 2100, average_reward -0.080000
Episode 2100: Total Loss of tensor([[2.4523]], grad_fn=<SubBackward0>)
[2022-11-05 05:59:40.247992] Process 4. Episode 2250, average_reward -0.076889
Episode 2250: Total Loss of tensor([[-133.2198]], grad_fn=<SubBackward0>)
[2022-11-05 06:00:35.078730] Process 0. Episode 2150, average_reward -0.069767
Episode 2150: Total Loss of tensor([[14.1467]], grad_fn=<SubBackward0>)
[2022-11-05 06:01:09.943771] Process 1. Episode 2150, average_reward -0.073023
Episode 2150: Total Loss of tensor([[-6.1351]], grad_fn=<SubBackward0>)
[2022-11-05 06:01:28.093899] Process 3. Episode 2150, average_reward -0.072093
Episode 2150: Total Loss of tensor([[1.5992]], grad_fn=<SubBackward0>)
[2022-11-05 06:01:58.907318] Process 2. Episode 2150, average_reward -0.079535
Episode 2150: Total Loss of tensor([[10.5040]], grad_fn=<SubBackward0>)
[2022-11-05 06:02:02.960099] Process 4. Episode 2300, average_reward -0.077826
Episode 2300: Total Loss of tensor([[-10.9981]], grad_fn=<SubBackward0>)
[2022-11-05 06:02:05.864029] Process 5. Episode 2200, average_reward -0.068182
Episode 2200: Total Loss of tensor([[0.4679]], grad_fn=<SubBackward0>)
[2022-11-05 06:03:00.069937] Process 0. Episode 2200, average_reward -0.070455
Episode 2200: Total Loss of tensor([[0.1612]], grad_fn=<SubBackward0>)
[2022-11-05 06:03:49.369658] Process 1. Episode 2200, average_reward -0.071818
Episode 2200: Total Loss of tensor([[-0.6133]], grad_fn=<SubBackward0>)
[2022-11-05 06:04:02.871794] Process 3. Episode 2200, average_reward -0.070909
Episode 2200: Total Loss of tensor([[0.3681]], grad_fn=<SubBackward0>)
[2022-11-05 06:04:27.005972] Process 4. Episode 2350, average_reward -0.078723
Episode 2350: Total Loss of tensor([[-103.6654]], grad_fn=<SubBackward0>)
[2022-11-05 06:04:31.527270] Process 2. Episode 2200, average_reward -0.079545
Episode 2200: Total Loss of tensor([[6.5941]], grad_fn=<SubBackward0>)
[2022-11-05 06:04:35.239272] Process 5. Episode 2250, average_reward -0.068000
Episode 2250: Total Loss of tensor([[9.9162]], grad_fn=<SubBackward0>)
[2022-11-05 06:05:31.321040] Process 0. Episode 2250, average_reward -0.071556
Episode 2250: Total Loss of tensor([[7.7076]], grad_fn=<SubBackward0>)
[2022-11-05 06:06:22.512102] Process 1. Episode 2250, average_reward -0.071556
Episode 2250: Total Loss of tensor([[17.2329]], grad_fn=<SubBackward0>)
[2022-11-05 06:06:46.540863] Process 4. Episode 2400, average_reward -0.078333
Episode 2400: Total Loss of tensor([[0.2016]], grad_fn=<SubBackward0>)
[2022-11-05 06:06:47.207915] Process 3. Episode 2250, average_reward -0.069778
Episode 2250: Total Loss of tensor([[-1.7248]], grad_fn=<SubBackward0>)
[2022-11-05 06:06:59.150004] Process 5. Episode 2300, average_reward -0.067391
Episode 2300: Total Loss of tensor([[0.8602]], grad_fn=<SubBackward0>)
[2022-11-05 06:07:10.040324] Process 2. Episode 2250, average_reward -0.079556
Episode 2250: Total Loss of tensor([[-4.5948]], grad_fn=<SubBackward0>)
[2022-11-05 06:07:57.780809] Process 0. Episode 2300, average_reward -0.072609
Episode 2300: Total Loss of tensor([[8.4533]], grad_fn=<SubBackward0>)
[2022-11-05 06:08:51.331484] Process 1. Episode 2300, average_reward -0.071304
Episode 2300: Total Loss of tensor([[13.1203]], grad_fn=<SubBackward0>)
[2022-11-05 06:09:09.831040] Process 4. Episode 2450, average_reward -0.077959
Episode 2450: Total Loss of tensor([[2.7058]], grad_fn=<SubBackward0>)
[2022-11-05 06:09:21.702761] Process 5. Episode 2350, average_reward -0.068936
Episode 2350: Total Loss of tensor([[1.5148]], grad_fn=<SubBackward0>)
[2022-11-05 06:09:27.294453] Process 3. Episode 2300, average_reward -0.070870
Episode 2300: Total Loss of tensor([[16.9841]], grad_fn=<SubBackward0>)
[2022-11-05 06:09:41.613834] Process 2. Episode 2300, average_reward -0.079130
Episode 2300: Total Loss of tensor([[1.6808]], grad_fn=<SubBackward0>)
[2022-11-05 06:10:25.157301] Process 0. Episode 2350, average_reward -0.072340
Episode 2350: Total Loss of tensor([[-127.0250]], grad_fn=<SubBackward0>)
[2022-11-05 06:11:34.750093] Process 4. Episode 2500, average_reward -0.078000
Episode 2500: Total Loss of tensor([[5.6375]], grad_fn=<SubBackward0>)
[2022-11-05 06:11:36.151226] Process 1. Episode 2350, average_reward -0.070638
Episode 2350: Total Loss of tensor([[17.5791]], grad_fn=<SubBackward0>)
[2022-11-05 06:11:49.042389] Process 5. Episode 2400, average_reward -0.068750
Episode 2400: Total Loss of tensor([[1.4553]], grad_fn=<SubBackward0>)
[2022-11-05 06:11:52.059775] Process 3. Episode 2350, average_reward -0.071064
Episode 2350: Total Loss of tensor([[14.2117]], grad_fn=<SubBackward0>)
[2022-11-05 06:12:15.059220] Process 2. Episode 2350, average_reward -0.079149
Episode 2350: Total Loss of tensor([[7.5238]], grad_fn=<SubBackward0>)
[2022-11-05 06:12:47.395920] Process 0. Episode 2400, average_reward -0.072917
Episode 2400: Total Loss of tensor([[7.3207]], grad_fn=<SubBackward0>)
[2022-11-05 06:14:01.438071] Process 4. Episode 2550, average_reward -0.076863
Episode 2550: Total Loss of tensor([[10.2703]], grad_fn=<SubBackward0>)
[2022-11-05 06:14:15.241269] Process 1. Episode 2400, average_reward -0.071250
Episode 2400: Total Loss of tensor([[10.0444]], grad_fn=<SubBackward0>)
[2022-11-05 06:14:23.705888] Process 5. Episode 2450, average_reward -0.068571
Episode 2450: Total Loss of tensor([[14.4516]], grad_fn=<SubBackward0>)
[2022-11-05 06:14:26.814594] Process 3. Episode 2400, average_reward -0.072917
Episode 2400: Total Loss of tensor([[10.8647]], grad_fn=<SubBackward0>)
[2022-11-05 06:14:41.263883] Process 2. Episode 2400, average_reward -0.077917
Episode 2400: Total Loss of tensor([[2.3101]], grad_fn=<SubBackward0>)
[2022-11-05 06:15:11.995603] Process 0. Episode 2450, average_reward -0.073878
Episode 2450: Total Loss of tensor([[12.8585]], grad_fn=<SubBackward0>)
[2022-11-05 06:16:26.442147] Process 4. Episode 2600, average_reward -0.076538
Episode 2600: Total Loss of tensor([[-14.9974]], grad_fn=<SubBackward0>)
[2022-11-05 06:16:50.751229] Process 1. Episode 2450, average_reward -0.071429
Episode 2450: Total Loss of tensor([[37.8405]], grad_fn=<SubBackward0>)
[2022-11-05 06:16:52.042446] Process 5. Episode 2500, average_reward -0.069200
Episode 2500: Total Loss of tensor([[32.6322]], grad_fn=<SubBackward0>)
[2022-11-05 06:16:56.391174] Process 3. Episode 2450, average_reward -0.074286
Episode 2450: Total Loss of tensor([[-39.8350]], grad_fn=<SubBackward0>)
[2022-11-05 06:17:09.599881] Process 2. Episode 2450, average_reward -0.077959
Episode 2450: Total Loss of tensor([[5.5693]], grad_fn=<SubBackward0>)
[2022-11-05 06:17:41.800650] Process 0. Episode 2500, average_reward -0.074800
Episode 2500: Total Loss of tensor([[8.3833]], grad_fn=<SubBackward0>)
[2022-11-05 06:18:51.177847] Process 4. Episode 2650, average_reward -0.076226
Episode 2650: Total Loss of tensor([[21.5281]], grad_fn=<SubBackward0>)
[2022-11-05 06:19:16.714499] Process 5. Episode 2550, average_reward -0.069020
